SEASON_1,PLAYER_ID,HOME_TEAM,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT,TIME_REMAINING
2021,203493,True,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,24+ ft.,2.32,6.255,23,4,1,21,81
2021,203493,True,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side,16-24 ft.,1.87,5.935,18,4,1,54,114
2021,203944,True,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,Less Than 8 ft.,-0.19,5.825,1,4,2,47,167
2021,203493,True,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,24+ ft.,0.8400000000000001,8.094999999999999,24,4,3,19,199
2021,203944,True,False,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,Less Than 8 ft.,-0.05,6.465,6,4,3,49,229
2021,202692,True,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,24+ ft.,-1.55,7.775,25,4,4,55,295
2021,202692,True,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,Less Than 8 ft.,0.14,5.775,1,4,5,20,320
2021,203944,True,False,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,8-16 ft.,-0.72,6.795,12,4,6,36,396
2021,1630193,True,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,Less Than 8 ft.,0.19,5.775,1,4,6,56,416
2021,201959,True,True,Layup Shot,2PT Field Goal,Restricted Area,Center,Less Than 8 ft.,-0.0699999999999999,5.835,0,4,7,38,458
2021,1630167,True,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,Less Than 8 ft.,0.05,6.055,2,4,8,13,493
2021,1630167,True,True,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,Less Than 8 ft.,0.38,6.035,4,4,8,27,507
2021,1630193,True,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,Less Than 8 ft.,-0.08,6.455,6,4,9,21,561
